lag_1,lag_2,lag_3,return_1d,ma_5,ma_10,target
112.65,111.76,112.74,-0.000798934753661773,112.37,111.654,0
112.56,112.65,111.76,-0.0036425017768301204,112.372,111.893,1
112.15,112.56,112.65,0.003388319215336555,112.33,112.05499999999999,0
112.53,112.15,112.56,-0.0004443259575224179,112.474,112.213,0
112.48,112.53,112.15,-0.006667852062588908,112.29,112.22,1
111.73,112.48,112.53,0.005459590083236376,112.24600000000001,112.30799999999999,1
112.34,111.73,112.48,0.007788855260815408,112.45900000000002,112.4155,1
113.215,112.34,111.73,0.0018990416464250703,112.63900000000001,112.4845,1
113.43,113.215,112.34,0.004452084986335203,112.92999999999999,112.702,1
113.935,113.43,113.215,0.00021942335542179947,113.376,112.833,1
113.96,113.935,113.43,0.0036855036855036882,113.78399999999999,113.01500000000001,1
114.38,113.96,113.935,0.007518796992481258,114.18900000000001,113.324,0
115.24,114.38,113.96,-0.0032974661575840836,114.475,113.55699999999999,0
114.86,115.24,114.38,-0.0012624064078007313,114.631,113.7805,1
114.715,114.86,115.24,0.0037048337183454016,114.86699999999999,114.1215,1
115.14,114.715,114.86,0.0020844189682125425,115.06699999999998,114.42550000000001,0
115.38,115.14,114.715,-0.004160166406656174,114.999,114.59399999999998,0
114.9,115.38,115.14,-0.0005657093124457058,114.994,114.7345,1
114.835,114.9,115.38,0.010841642356424375,115.26699999999998,114.94899999999998,1
116.08,114.835,114.9,0.003962784286698939,115.547,115.20700000000002,0
116.54,116.08,114.835,-0.0027458383387678476,115.715,115.39099999999999,1
116.22,116.54,116.08,0.0008604371020477508,115.999,115.499,1
116.32,116.22,116.54,0.0006877579092161579,116.31199999999998,115.65299999999999,0
116.4,116.32,116.22,-0.010738831615120237,116.126,115.69649999999999,0
115.15,116.4,116.32,-0.005731654363873351,115.71600000000001,115.6315,1
114.49,115.15,116.4,0.002270940693510415,115.422,115.5685,1
114.75,114.49,115.15,0.0030065359477124964,115.17699999999999,115.58800000000001,1
115.095,114.75,114.49,0.0041270255006733425,115.01100000000001,115.6615,0
115.57,115.095,114.75,-0.002682357013065517,115.03299999999999,115.57950000000001,0
115.26,115.57,115.095,-0.011278847822314919,114.92699999999999,115.32149999999999,1
113.96,115.26,115.57,0.002983502983503028,114.83699999999999,115.12949999999998,0
114.3,113.96,115.26,0.0,114.678,114.92749999999998,1
114.3,114.3,113.96,0.008836395450568801,114.626,114.81850000000001,1
115.31,114.3,114.3,0.0002601682421299323,114.64200000000001,114.8375,1
115.34,115.31,114.3,0.006415814114790974,115.06599999999999,114.9965,1
116.08,115.34,115.31,0.008614748449345289,115.622,115.2295,1
117.08,116.08,115.34,0.0021352921079602627,116.228,115.453,0
117.33,117.08,116.08,-0.004261484701269969,116.532,115.579,1
116.83,117.33,117.08,0.0011127278952323127,116.856,115.749,0
116.96,116.83,117.33,-0.007181942544459585,116.86399999999999,115.965,1
116.12,116.96,116.83,0.0054254219772649215,116.798,116.21,1
116.75,116.12,116.96,0.003426124197002167,116.76199999999999,116.495,0
117.15,116.75,116.12,-0.006828851899274513,116.66599999999998,116.59899999999998,0
116.35,117.15,116.75,-0.005156854318865478,116.424,116.64000000000001,0
115.75,116.35,117.15,-0.008725701943844588,116.148,116.506,0
114.74,115.75,116.35,-0.0020045319853581045,115.7,116.24899999999998,1
114.51,114.74,115.75,0.00043664308793989193,115.18200000000002,115.97200000000001,0
114.56,114.51,114.74,0.0,114.824,115.745,1
114.56,114.56,114.51,0.0041899441340782495,114.68199999999999,115.553,0
115.04,114.56,114.56,-0.004867872044506227,114.63,115.38899999999998,1
114.48,115.04,114.56,0.005503144654088077,114.75,115.225,1
115.11,114.48,115.04,0.005038658674311414,114.976,115.079,0
115.69,115.11,114.48,-0.0028524505143054935,115.13600000000001,114.98000000000002,0
